PLAYER,PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POSITION
Doug Christie,12.3,1.2,3.1,37.6,3.5,3.9,89.7,4.4,3.6,F
Steven Smith,13.6,1,2.8,33.9,3.8,4.3,89,3.4,2.6,F
Roshown McLeod,9.6,0.1,0.6,9.1,1.3,1.5,88.2,3.4,1.7,F
Eric Piatkowski,10.6,1.5,3.7,40.4,2,2.2,87.3,3,1.2,F
Wally Szczerbiak,14,0.3,0.9,33.8,2.2,2.5,87,5.5,3.2,F
Richard Hamilton,18.1,0.5,1.9,27.4,3.6,4.1,86.8,3.1,2.9,F
Pat Garrity,8.3,1.3,2.9,43.3,1.1,1.3,86.7,2.8,0.7,F
Austin Croshere,10.1,0.9,2.6,33.8,2.5,2.9,86.6,4.8,1.1,F
Cedric Ceballos,6.5,0.6,1.8,30.1,0.9,1.1,86,2.7,0.5,F
Chris Mullin,5.8,1,2.6,36.5,1.2,1.4,85.7,2.1,1,F
Peja Stojakovic,20.4,1.9,4.8,40,3.6,4.2,85.6,5.8,2.2,F
Johnny Newman,10.9,0.7,2.1,33.5,3.1,3.6,85.5,2.1,1.4,F
Glen Rice,12,1.1,2.8,38.9,2.1,2.4,85.2,4.1,1.2,F
George McCloud,9.6,1,3.1,32.9,2,2.4,84,2.9,3.7,F
Dirk Nowitzki,21.8,1.8,4.8,38.7,5.5,6.6,83.8,9.2,2.1,F
Charles Oakley,9.6,0.1,0.6,22.4,1.6,1.9,83.6,9.5,3.4,F
Shareef Abdur-Rahim,20.5,0.1,0.8,18.8,5.5,6.6,83.4,9.1,3.1,F
Rashard Lewis,14.8,1.6,3.7,43.2,2.3,2.7,82.6,6.9,1.6,F
Ron Mercer,19.7,0.2,0.8,30.4,3.1,3.7,82.5,3.9,3.3,F
Jerry Stackhouse,29.8,2.1,5.9,35.1,8.3,10.1,82.2,3.9,5.1,F
Glenn Robinson,22,0.7,2.4,29.9,3.3,4,82,6.9,3.3,F
Chris Crawford,6.8,0.1,0.5,27.3,1.4,1.8,81.9,2.3,0.8,F
James Posey,8.1,0.8,2.6,30,1.4,1.7,81.6,5.3,2,F
Matt Harpring,11.1,0.2,0.9,25,2.4,2.9,81.2,4.3,1.8,F
Shawn Marion,17.3,0.3,1,25.6,3,3.7,81,10.7,2,F
Keith Van Horn,17,1.3,3.5,38.2,3.1,3.8,80.6,7.1,1.7,F
Tyrone Nesby,8.3,0.8,2.9,27.2,1.4,1.7,80.2,2.8,1.2,F
Mario Elie,4.4,0.5,1.5,36,0.8,1,79.7,2.3,1.9,F
Larry Johnson,9.9,0.8,2.5,31.3,1.6,2,79.7,5.6,2,F
Latrell Sprewell,17.7,0.5,1.8,30.4,3.6,4.6,78.3,4.5,3.5,F
Bryon Russell,12,1.2,2.9,41.3,2.8,3.7,77.9,4.2,2.1,F
Rick Fox,9.6,1.4,3.7,39.3,1.2,1.5,77.9,4,3.2,F
Hedo Turkoglu,5.3,0.4,1.2,32.6,1.2,1.5,77.7,2.8,0.9,F
Michael Finley,21.5,1.1,3.2,34.6,3.1,4,77.5,5.2,4.4,F
Corey Maggette,10,0.2,0.8,30.4,3.2,4.2,77.4,4.2,1.2,F
Tim Thomas,12.6,1.4,3.4,41.2,2.6,3.3,77.1,4.1,1.8,F
Walt Williams,8.3,1.4,3.4,39.5,1.3,1.8,77,3.4,1.3,F
Jamal Mashburn,20.1,1.4,3.8,35.6,3.7,4.8,76.6,7.6,5.4,F
Rasheed Wallace,19.2,0.7,2.1,32.1,3.2,4.2,76.6,7.8,2.8,F
Vince Carter,27.6,2.2,5.3,40.8,5.1,6.7,76.5,5.5,3.9,F
Kevin Garnett,22,0.2,0.8,28.8,4.4,5.8,76.4,11.4,5,F
Rodney Rogers,12.2,0.7,2.3,29.6,2.3,3,76.1,4.4,2.2,F
Donyell Marshall,13.6,0.5,1.6,32,2.5,3.4,75.1,7,1.6,F
Metta World Peace,11.9,0.6,1.9,29.1,2.8,3.7,75,3.9,3,F
Paul Pierce,25.3,1.8,4.7,38.3,6.7,9,74.5,6.4,3.1,F
Scottie Pippen,11.3,1,2.9,34.4,1.9,2.5,73.9,5.2,4.6,F
Desmond Mason,5.9,0.2,0.9,26.9,0.9,1.2,73.6,3.2,0.8,F
DerMarr Johnson,5.1,0.5,1.6,32.3,0.8,1.1,73.6,2.3,0.8,F
Lamond Murray,12.8,0.8,2.1,37,2,2.7,73.5,4.4,1.6,F
Shandon Anderson,8.7,0.6,2.1,27.1,1.7,2.3,73.4,4.1,2.3,F
Laron Profit,4.3,0.2,0.7,26.9,0.9,1.3,73.3,1.8,2.5,F
Tracy McGrady,26.8,0.8,2.2,35.5,5.6,7.6,73.3,7.5,4.6,F
Marcus Fizer,9.5,0.1,0.5,25.6,1.6,2.2,72.7,4.3,1.1,F
Kenny Thomas,7.1,0.3,1.2,27.2,1.2,1.7,72.2,5.6,1,F
George Lynch,8.4,0.2,0.7,26.3,1.5,2.1,71.9,7.2,1.7,F
Stephen Jackson,8.2,0.7,2,33.5,1.3,1.8,71.9,2.7,1.8,F
Morris Peterson,9.3,0.8,2.1,38.2,1.3,1.8,71.7,3.2,1.3,F
Antoine Walker,23.4,2.7,7.4,36.7,3.1,4.3,71.6,8.9,5.5,F
Antawn Jamison,24.9,0.8,2.5,30.2,4.7,6.5,71.5,8.7,2,F
Eric Williams,6.6,0.6,1.7,33.1,2,2.9,71.4,2.6,1.4,F
Sean Elliott,7.9,1.1,2.5,42.6,1.2,1.6,71.4,3.3,1.6,F
Mike Miller,11.9,1.8,4.4,40.7,1.1,1.6,71.1,4,1.7,F
Robert Horry,5.2,0.7,2,34.6,0.7,1.1,71.1,3.7,1.6,F
Clifford Robinson,16.4,1.1,3,36.1,3.1,4.4,70.9,4.1,2.9,F
Felipe Lopez,7.9,0.3,0.7,36.5,1.6,2.2,69.9,3.3,1.5,F
Raef LaFrentz,12.9,0.7,1.8,36.7,2.3,3.4,69.8,7.8,1.4,F
Derrick Coleman,8.1,0.6,1.5,39.2,1.9,2.7,68.5,5.4,1.1,F
Chris Gatling,11.4,0.4,1.2,30.4,2.1,3.1,68.4,5.3,0.8,F
Ruben Patterson,13,0,0.5,5.6,3.2,4.8,68.1,5,2.1,F
Lamar Odom,17.2,1.1,3.3,31.6,3.4,5.1,67.9,7.8,5.2,F
Bonzi Wells,12.6,0.2,0.7,34,2.1,3.2,66,4.9,2.8,F
Toni Kukoc,11.1,1.1,2.4,44.6,1.6,2.5,63.1,4,3.1,F
Bruce Bowen,7.6,1.3,3.7,33.6,1.2,2,60.9,3,1.6,F
Marc Jackson,13.2,0.1,0.5,21.7,3.2,4,80.2,7.5,1.2,C
Rasheed Wallace,19.2,0.7,2.1,32.1,3.2,4.2,76.6,7.8,2.8,C
Raef LaFrentz,12.9,0.7,1.8,36.7,2.3,3.4,69.8,7.8,1.4,C
Chris Gatling,11.4,0.4,1.2,30.4,2.1,3.1,68.4,5.3,0.8,C
Walt Williams,8.3,1.4,3.4,39.5,1.3,1.8,77,3.4,1.3,G
Voshon Lenard,12.2,1.8,4.8,38.5,1.9,2.4,79.7,2.9,2.4,G
Vonteego Cummings,7.3,0.7,2.2,33.6,1.2,1.8,68.1,2.1,3.4,G
Vince Carter,27.6,2.2,5.3,40.8,5.1,6.7,76.5,5.5,3.9,G
Tyrone Nesby,8.4,0.8,2.8,29.1,1.4,1.7,80.7,2.7,1.4,G
Troy Hudson,4.8,0.3,1.5,20.2,1.1,1.4,81.7,1.4,2.2,G
Travis Best,11.9,0.5,1.3,38.1,2.4,2.9,82.7,2.9,6.1,G
Trajan Langdon,6,0.8,1.9,41.1,1,1.2,89.5,1.4,1.2,G
Tracy McGrady,26.8,0.8,2.2,35.5,5.6,7.6,73.3,7.5,4.6,G
Tony Delk,12.3,0.7,2,32.1,2.3,2.9,78.7,3.2,2,G
Tim Hardaway,14.9,2.5,6.7,36.6,1.9,2.4,80.1,2.6,6.3,G
Terry Porter,7.2,1.1,2.6,42.4,1.2,1.5,79.3,2.5,3.1,G
Terrell Brandon,16,0.4,1.2,36.3,2.5,2.9,87.1,3.8,7.5,G
Steven Smith,13.6,1,2.8,33.9,3.8,4.3,89,3.4,2.6,G
Steve Nash,15.6,1.3,3.1,40.6,3.3,3.7,89.5,3.2,7.3,G
Steve Francis,19.9,1.7,4.2,39.6,4.5,5.5,81.7,6.9,6.5,G
Stephon Marbury,23.9,1.6,5,32.8,5.4,6.8,79,3.1,7.6,G
Stephen Jackson,8.2,0.7,2,33.5,1.3,1.8,71.9,2.7,1.8,G
Sherman Douglas,5.7,0.1,0.7,20,1.5,1.9,74.8,1.3,2.4,G
Shandon Anderson,8.7,0.6,2.1,27.1,1.7,2.3,73.4,4.1,2.3,G
Shammond Williams,6.8,0.9,1.9,45.9,1.2,1.4,87.5,1.9,2.8,G
Sam Cassell,18.2,0.4,1.3,30.6,3.6,4.3,85.8,3.8,7.6,G
Ruben Patterson,13,0,0.5,5.6,3.2,4.8,68.1,5,2.1,G
Ron Mercer,19.7,0.2,0.8,30.4,3.1,3.7,82.5,3.9,3.3,G
Ron Harper,6.5,0.4,1.5,26.4,0.7,1,70.8,3.5,2.4,G
Richard Hamilton,18.1,0.5,1.9,27.4,3.6,4.1,86.8,3.1,2.9,G
Reggie Miller,18.9,2.1,5.7,36.6,4,4.3,92.8,3.5,3.2,G
Ray Allen,22,2.5,5.7,43.3,4.2,4.8,88.8,5.2,4.6,G
Quentin Richardson,8.1,0.7,2,33.1,1.3,2.1,62.7,3.4,0.8,G
Paul Pierce,25.3,1.8,4.7,38.3,6.7,9,74.5,6.4,3.1,G
Nick Van Exel,17.7,1.9,5,37.7,2.9,3.5,81.9,3.4,8.5,G
Morris Peterson,9.3,0.8,2.1,38.2,1.3,1.8,71.7,3.2,1.3,G
Mookie Blaylock,11,1.1,3.3,32.4,0.8,1.1,69.7,3.9,6.7,G
Moochie Norris,6.6,0.3,1.1,28.1,1.8,2.4,77.8,2.4,3.5,G
Mitch Richmond,16.2,1.2,3.6,33.8,3.9,4.3,89.4,2.9,3,G
Milt Palacio,5.9,0.2,0.6,33.3,1.3,1.6,84.8,1.8,2.6,G
Mike Miller,11.9,1.8,4.4,40.7,1.1,1.6,71.1,4,1.7,G
Mike Bibby,15.9,1.3,3.5,37.9,1.7,2.3,76.1,3.7,8.4,G
Michael Finley,21.5,1.1,3.2,34.6,3.1,4,77.5,5.2,4.4,G
Michael Dickerson,16.3,1.2,3.3,37.4,2.9,3.9,76.3,3.3,3.3,G
Matt Harpring,11.1,0.2,0.9,25,2.4,2.9,81.2,4.3,1.8,G
Mark Jackson,7.6,0.8,2.5,33.8,0.9,1.1,77.7,3.7,8,G
Mario Elie,4.4,0.5,1.5,36,0.8,1,79.7,2.3,1.9,G
Lucious Harris,9.4,0.6,1.8,34.8,1.5,1.9,77,3.9,1.8,G
Lindsey Hunter,10.1,1.9,5,37.3,0.9,1.2,80.2,2.1,2.7,G
Latrell Sprewell,17.7,0.5,1.8,30.4,3.6,4.6,78.3,4.5,3.5,G
Larry Hughes,16.5,0.3,1.5,18.7,3.9,5,76.6,5.5,4.5,G
Laron Profit,4.3,0.2,0.7,26.9,0.9,1.3,73.3,1.8,2.5,G
Kobe Bryant,28.5,0.9,2.9,30.5,7,8.2,85.3,5.9,5,G
Khalid El-Amin,6.3,0.6,1.7,33.3,1.1,1.4,77.8,1.6,2.9,G
Keyon Dooling,5.9,0.4,1.1,35,1.6,2.4,69.8,1.2,2.3,G
Kenny Anderson,7.5,0.3,1,33.3,1.8,2.2,83.1,2.2,4.1,G
Kendall Gill,9.1,0.1,0.5,28.6,2.1,2.9,72.2,4.2,2.8,G
Jon Barry,5.1,0.7,2.1,34.8,1,1.2,87.7,1.5,2.1,G
John Stockton,11.5,0.7,1.6,46.2,2.8,3.4,81.7,2.8,8.7,G
John Starks,9.3,0.9,2.4,35.2,1.2,1.5,80.2,2.1,2.4,G
Jim Jackson,11.5,0.5,1.4,32.5,2.5,3,82.2,4,2.9,G
Jerry Stackhouse,29.8,2.1,5.9,35.1,8.3,10.1,82.2,3.9,5.1,G
Jeff McInnis,12.9,0.6,1.8,36.1,1.6,2,80.7,2.7,5.5,G
Jason Williams,9.4,1.3,4,31.5,0.8,1,78.9,2.4,5.4,G
Jason Terry,19.7,1.5,3.8,39.5,3.7,4.4,84.6,3.3,4.9,G
Jason Kidd,16.9,0.9,3,29.7,4.3,5.2,81.4,6.4,9.8,G
James Posey,8.1,0.8,2.6,30,1.4,1.7,81.6,5.3,2,G
Jalen Rose,20.5,0.8,2.4,33.9,4,4.8,82.8,5,6,G
Jacque Vaughn,6.1,0.4,1,38.5,1.6,2,78,1.8,3.9,G
Isaiah Rider,7.6,0.5,1.4,37,1.1,1.2,85.5,2.3,1.7,G
Howard Eisley,9,1.3,3.3,39.8,1.3,1.5,82.5,2.4,3.6,G
Hersey Hawkins,3.1,0.3,0.8,37,0.9,1.1,85.7,1.4,1.2,G
Glen Rice,12,1.1,2.8,38.9,2.1,2.4,85.2,4.1,1.2,G
Gary Payton,23.1,1.3,3.4,37.5,3.4,4.5,76.6,4.6,8.1,G
Fred Hoiberg,9.1,1.4,3.4,41.4,1.8,2.1,86.6,4.2,3.6,G
Felipe Lopez,7.9,0.3,0.7,36.5,1.6,2.2,69.9,3.3,1.5,G
Erick Strickland,5.2,0.6,1.9,31.6,1.4,1.6,86.1,2.6,1.9,G
Eric Piatkowski,10.6,1.5,3.7,40.4,2,2.2,87.3,3,1.2,G
Eddie Jones,17.4,1.4,3.8,37.8,3.6,4.3,84.4,4.6,2.7,G
Doug Christie,12.3,1.2,3.1,37.6,3.5,3.9,89.7,4.4,3.6,G
Dion Glover,5.9,0.2,0.8,19.6,0.8,1.2,68.1,2.3,1.2,G
Desmond Mason,5.9,0.2,0.9,26.9,0.9,1.2,73.6,3.2,0.8,G
Derek Fisher,11.5,1.3,3.2,39.7,2.5,3.1,80.6,3,4.4,G
Derek Anderson,15.5,1.2,3.1,39.9,4.2,4.9,85.1,4.4,3.7,G
David Wesley,17.2,1.2,3.1,37.6,3.3,4.1,79.9,2.7,4.4,G
Darrell Armstrong,15.9,1.9,5.4,35.5,2.9,3.3,88.4,4.6,7,G
Dana Barros,8,0.7,1.8,41.9,1.1,1.3,85,1.6,1.8,G
Damon Stoudamire,13,1,2.7,37.4,2.1,2.5,83.1,3.7,5.7,G
Cuttino Mobley,19.5,1.1,3.2,35.7,5,6,83.1,5,2.5,G
Courtney Alexander,9.5,0.3,0.7,37,1.9,2.3,82,2.2,1,G
Corey Benjamin,4.7,0.3,1.2,25.9,0.9,1.3,67.5,1.5,1.1,G
Chucky Atkins,12,1.5,4.2,35.7,1.1,1.6,69.2,2.1,4.1,G
Chris Whitney,9.5,1.6,4.2,37.5,1.7,1.9,89.4,1.8,4.2,G
Chauncey Billups,9.3,0.9,2.5,37.6,1.9,2.2,84.2,2.1,3.4,G
Charlie Ward,7.1,1.1,2.9,38.3,0.9,1.1,80,2.6,4.5,G
Bryant Stith,9.7,1.2,3.1,37.6,2.2,2.7,84.5,3.6,2.2,G
Bruce Bowen,7.6,1.3,3.7,33.6,1.2,2,60.9,3,1.6,G
Brent Barry,8.8,1.6,3.4,47.6,1.3,1.5,81.6,3.1,3.4,G
Bonzi Wells,12.6,0.2,0.7,34,2.1,3.2,66,4.9,2.8,G
Bobby Jackson,7.2,0.5,1.3,37.5,0.8,1.1,73.9,3.1,2,G
Bob Sura,11.1,0.9,3.2,27.3,2.5,3.6,71.4,4.3,4.6,G
Baron Davis,13.8,1,3.3,31,2.8,4.1,67.7,5,7.3,G
Antonio Daniels,9.4,0.9,2.3,40.4,1.5,2,77.6,2.1,3.8,G
Anthony Peeler,10.5,1.3,3.4,39.1,1,1.2,86.2,2.6,2.6,G
Anthony Carter,6.4,0.1,0.6,15,0.9,1.4,63.1,2.5,3.7,G
Andre Miller,15.8,0.2,0.8,26.6,4.6,5.5,83.3,4.4,8,G
Alvin Williams,9.8,0.4,1.3,30.6,1.3,1.8,75.2,2.6,5,G
Allen Iverson,31.1,1.4,4.3,32,8.2,10.1,81.4,3.8,4.6,G
Allan Houston,18.7,1.2,3.2,38.1,3.6,3.9,90.9,3.6,2.2,G
Aaron McKie,11.6,0.7,2.2,31.2,2,2.6,76.8,4.1,5,G