"","PLAYER","PTS","X3PM","X3PA","X3P.","FTM","FTA","FT.","REB","AST","POS"
"1","Chasson Randle",5.3,0.6,1.8,34,1.6,1.7,95.3,1.2,1.3,"G"
"2","CJ McCollum",23,2.3,5.5,42.1,3.4,3.7,91.2,3.6,3.6,"G"
"3","Isaiah Thomas",28.9,3.2,8.5,37.9,7.8,8.5,90.9,2.7,5.9,"G"
"4","Kyrie Irving",25.2,2.5,6.1,40.1,4.1,4.6,90.5,3.2,5.8,"G"
"5","CJ Miles",10.7,2.2,5.4,41.3,1.1,1.2,90.3,3,0.6,"G"
"6","Stephen Curry",25.3,4.1,10,41.1,4.1,4.6,89.8,4.5,6.6,"G"
"7","Damian Lillard",27,2.9,7.7,37,6.5,7.3,89.5,4.9,5.9,"G"
"8","Bojan Bogdanovic",13.7,1.8,4.8,36.7,2.7,3,89.3,3.4,1.4,"G"
"9","Marco Belinelli",10.5,1.4,3.8,36,2,2.3,89.3,2.4,2,"G"
"10","Arron Afflalo",8.4,1,2.5,41.1,1.4,1.5,89.2,2,1.3,"G"
"11","Chris Paul",18.1,2,5,41.1,3.8,4.3,89.2,5,9.2,"G"
"12","Ricky Rubio",11.1,0.8,2.6,30.6,3.4,3.8,89.1,4.1,9.1,"G"
"13","JJ Redick",15,2.6,6,42.9,2.3,2.6,89.1,2.2,1.4,"G"
"14","Jerian Grant",5.9,0.8,2.1,36.6,1,1.2,89,1.8,1.9,"G"
"15","Jamal Murray",9.9,1.4,4.2,33.4,1.3,1.5,88.3,2.6,2.1,"G"
"16","Khris Middleton",14.7,1.6,3.6,43.3,2.8,3.2,88,4.2,3.4,"G"
"17","Lou Williams",17.5,2,5.5,36.5,5,5.6,88,2.5,3,"G"
"18","Jodie Meeks",9.1,1.6,3.8,40.9,1.8,2.1,87.8,2.1,1.3,"G"
"19","Derrick Rose",18,0.2,0.9,21.7,3.5,4,87.4,3.8,4.4,"G"
"20","Reggie Jackson",14.5,1.3,3.5,35.9,2.3,2.6,86.8,2.2,5.2,"G"
"21","Jeff Teague",15.3,1.1,3.1,35.7,4.4,5.1,86.7,4,7.8,"G"
"22","Courtney Lee",10.8,1.4,3.5,40.1,1.1,1.3,86.7,3.4,2.3,"G"
"23","Malcolm Brogdon",10.2,1,2.6,40.4,1.5,1.7,86.5,2.8,4.2,"G"
"24","C.J. Watson",4.5,0.5,1.7,30.5,0.9,1.1,86.4,1.4,1.8,"G"
"25","J.J. Barea",10.9,1.5,4.2,35.8,1.3,1.5,86.3,2.4,5.5,"G"
"26","Darren Collison",13.2,1.1,2.6,41.7,2.2,2.5,86,2.2,4.6,"G"
"27","Mike Conley",20.5,2.5,6.1,40.8,4.6,5.3,85.9,3.5,6.3,"G"
"28","Brandon Knight",11,0.8,2.6,32.4,2.4,2.9,85.7,2.2,2.4,"G"
"29","Jamal Crawford",12.3,1.4,3.9,36,2.1,2.5,85.7,1.6,2.6,"G"
"30","Nicolas Batum",15.1,1.8,5.3,33.3,3.2,3.7,85.6,6.2,5.9,"G"
"31","Nick Young",13.2,2.8,7,40.4,1.3,1.5,85.6,2.3,1,"G"
"32","Dennis Schroder",17.9,1.3,3.7,34,2.8,3.2,85.5,3.1,6.3,"G"
"33","Matthew Dellavedova",7.6,1,2.8,36.7,1.1,1.3,85.4,1.9,4.7,"G"
"34","Timothe Luwawu-Cabarrot",6.4,0.7,2.3,31.1,1.5,1.8,85.4,2.2,1.1,"G"
"35","Klay Thompson",22.3,3.4,8.3,41.4,2.4,2.8,85.3,3.7,2.1,"G"
"36","Jeremy Lamb",9.7,0.7,2.4,28.1,1.8,2.1,85.3,4.3,1.2,"G"
"37","Seth Curry",12.8,2,4.6,42.5,1.2,1.4,85,2.6,2.7,"G"
"38","Eric Bledsoe",21.1,1.6,4.7,33.5,5.9,6.9,84.7,4.8,6.3,"G"
"39","Kemba Walker",23.2,3,7.6,39.9,3.8,4.5,84.7,3.9,5.5,"G"
"40","Allen Crabbe",10.7,1.7,3.8,44.4,1.3,1.6,84.7,2.9,1.2,"G"
"41","James Harden",29.1,3.2,9.3,34.7,9.2,10.9,84.7,8.1,11.2,"G"
"42","Brian Roberts",3.5,0.4,1.1,38.6,0.8,1,84.6,1,1.3,"G"
"43","Russell Westbrook",31.6,2.5,7.2,34.3,8.8,10.4,84.5,10.7,10.4,"G"
"44","Sean Kilpatrick",13.1,1.5,4.4,34.1,2.9,3.5,84.3,4,2.2,"G"
"45","DeMar DeRozan",27.3,0.4,1.7,26.6,7.4,8.7,84.2,5.2,3.9,"G"
"46","Eric Gordon",16.2,3.3,8.8,37.2,2,2.3,84,2.7,2.5,"G"
"47","Wade Baldwin IV",3.2,0.1,0.7,13.6,0.9,1.1,83.8,1.4,1.8,"G"
"48","Zach LaVine",18.9,2.6,6.6,38.7,2.5,3,83.6,3.4,3,"G"
"49","Kentavious Caldwell-Pope",13.8,2,5.8,35,2,2.4,83.2,3.3,2.5,"G"
"50","Devin Booker",22.1,1.9,5.2,36.3,4.7,5.7,83.2,3.2,3.4,"G"
"51","Yogi Ferrell",10,1.5,3.8,38.6,1.6,1.9,83.1,2.4,3.7,"G"
"52","Devin Harris",6.7,0.9,2.7,32.8,1.6,2,82.9,2,2.1,"G"
"53","Toney Douglas",4.9,0.3,1.8,16.7,1,1.2,82.8,2.5,2.3,"G"
"54","Deron Williams",11,1.3,3.7,36.3,1.4,1.7,82.6,2.3,5.6,"G"
"55","Evan Turner",9,0.5,1.8,26.3,1.3,1.6,82.5,3.8,3.2,"G"
"56","Justin Holiday",7.7,1.2,3.3,35.5,0.8,1,82.5,2.7,1.2,"G"
"57","Patty Mills",9.5,1.8,4.4,41.4,0.8,1,82.5,1.8,3.5,"G"
"58","Bradley Beal",23.1,2.9,7.2,40.4,3.7,4.4,82.5,3.1,3.5,"G"
"59","Kyle Lowry",22.4,3.2,7.8,41.2,5,6.1,81.9,4.8,7,"G"
"60","Joe Johnson",9.2,1.4,3.3,41.1,0.8,1,81.8,3.1,1.8,"G"
"61","Wesley Matthews",13.5,2.4,6.6,36.3,2,2.5,81.6,3.5,2.9,"G"
"62","Jeremy Lin",14.5,1.6,4.3,37.2,3.2,3.9,81.6,3.8,5.1,"G"
"63","D.J. Augustin",7.9,1.2,3.5,34.7,1.7,2.1,81.4,1.5,2.7,"G"
"64","Nik Stauskas",9.5,1.7,4.5,36.8,1.5,1.9,81.3,2.8,2.4,"G"
"65","Marcus Smart",10.6,1.2,4.2,28.3,2.6,3.2,81.2,3.9,4.6,"G"
"66","T.J. McConnell",6.9,0.1,0.7,20,0.9,1.1,81.1,3.1,6.6,"G"
"67","Malcolm Delaney",5.4,0.4,1.5,23.6,1,1.3,80.6,1.7,2.6,"G"
"68","Gerald Henderson",9.2,0.8,2.4,35.3,1.8,2.3,80.6,2.6,1.6,"G"
"69","Isaiah Whitehead",7.4,0.6,2,29.5,1.2,1.5,80.5,2.5,2.6,"G"
"70","Evan Fournier",17.2,1.9,5.3,35.6,3.3,4.1,80.5,3.1,3,"G"
"71","Manu Ginobili",7.5,1.3,3.3,39.2,1.2,1.6,80.4,2.3,2.7,"G"
"72","George Hill",16.9,1.9,4.8,40.3,3.2,4,80.1,3.4,4.2,"G"
"73","John Wall",23.1,1.1,3.5,32.7,5.4,6.8,80.1,4.2,10.7,"G"
"74","Jordan Clarkson",14.7,1.4,4.3,32.9,1.6,2,79.8,3,2.6,"G"
"75","Ty Lawson",9.9,0.5,1.7,28.8,2.5,3.1,79.7,2.6,4.8,"G"
"76","Dante Exum",6.2,0.7,2.3,29.5,0.9,1.1,79.5,2,1.7,"G"
"77","Dwyane Wade",18.3,0.8,2.4,31,3.7,4.7,79.4,4.5,3.8,"G"
"78","Norman Powell",8.4,0.7,2.3,32.4,1.7,2.1,79.2,2.2,1.1,"G"
"79","Spencer Dinwiddie",7.3,0.6,1.7,37.6,2.1,2.7,79.2,2.8,3.1,"G"
"80","Justin Anderson",7.1,0.8,2.6,29.9,1.4,1.7,79.1,3.3,0.9,"G"
"81","Goran Dragic",20.3,1.6,4,40.5,4.1,5.2,79,3.8,5.8,"G"
"82","Iman Shumpert",7.5,1.2,3.4,36,0.9,1.2,78.9,2.9,1.4,"G"
"83","Emmanuel Mudiay",11,1,3.2,31.5,2.4,3,78.4,3.2,3.9,"G"
"84","Garrett Temple",7.8,1.3,3.4,37.3,0.9,1.1,78.4,2.8,2.6,"G"
"85","Rodney Hood",12.7,1.9,5.2,37.1,1.5,1.9,78.3,3.4,1.6,"G"
"86","D'Angelo Russell",15.6,2.1,6.1,35.2,2.3,3,78.2,3.5,4.8,"G"
"87","Josh Richardson",10.2,1.4,4.3,33,1.1,1.5,77.9,3.2,2.6,"G"
"88","Gary Harris",14.9,1.9,4.5,42,1.8,2.4,77.6,3.1,2.9,"G"
"89","Tyler Ulis",7.3,0.3,1.3,26.6,0.9,1.2,77.5,1.6,3.7,"G"
"90","Ramon Sessions",6.2,0.4,1.2,33.9,1.8,2.4,77.1,1.5,2.6,"G"
"91","Cory Joseph",9.3,0.6,1.7,35.6,1.2,1.5,77,2.9,3.3,"G"
"92","E'Twaun Moore",9.6,1.1,2.8,37,0.8,1,77,2.1,2.2,"G"
"93","Giannis Antetokounmpo",22.9,0.6,2.3,27.2,5.9,7.7,77,8.8,5.4,"G"
"94","Alec Burks",6.7,0.6,1.8,32.9,1.4,1.9,76.9,2.9,0.7,"G"
"95","Patrick Beverley",9.5,1.6,4.3,38.2,1.1,1.4,76.8,5.9,4.2,"G"
"96","Tyler Johnson",13.7,1.3,3.4,37.2,2.7,3.5,76.8,4,3.2,"G"
"97","Tim Hardaway Jr.",14.5,1.9,5.3,35.7,2.1,2.7,76.6,2.8,2.3,"G"
"98","Vince Carter",8,1.5,4.1,37.8,1.2,1.6,76.5,3.1,1.8,"G"
"99","Delon Wright",5.6,0.4,1.1,33.3,1.6,2,76.4,1.8,2.1,"G"
"100","Andrew Harrison",5.9,0.6,2.2,27.6,2.1,2.7,76.3,1.9,2.8,"G"
"101","Tim Frazier",7.1,0.6,2,31.3,1.5,2,76,2.7,5.2,"G"
"102","Michael Carter-Williams",6.6,0.3,1.4,23.4,1.3,1.7,75.3,3.4,2.5,"G"
"103","Victor Oladipo",15.9,1.9,5.3,36.1,1.7,2.3,75.3,4.3,2.6,"G"
"104","Ben McLemore",8.1,1.1,2.8,38.2,1.1,1.5,75.3,2.1,0.8,"G"
"105","Will Barton",13.7,1.5,3.9,37,2.4,3.2,75.3,4.3,3.4,"G"
"106","Brandon Jennings",7.1,1,3.1,31.3,1.4,1.9,75,2.4,4.9,"G"
"107","Jonathon Simmons",6.2,0.4,1.3,29.4,1.3,1.7,75,2.1,1.6,"G"
"108","Tyreke Evans",10.3,1.1,3,35.6,1.7,2.3,75,3.4,3.1,"G"
"109","Rodney Stuckey",7.2,0.5,1.5,31.7,2.1,2.7,74.8,2.2,2.2,"G"
"110","Avery Bradley",16.3,2,5,39,1.2,1.7,73.1,6.1,2.2,"G"
"111","Monta Ellis",8.5,0.6,1.8,31.9,1.3,1.7,72.7,2.8,3.2,"G"
"112","Tony Parker",10.1,0.4,1.1,33.3,1.3,1.9,72.6,1.8,4.5,"G"
"113","Caris LeVert",8.2,1,3.2,32.1,1.2,1.6,72,3.3,1.9,"G"
"114","Glenn Robinson III",6.1,0.7,1.8,39.2,0.8,1.1,71.1,3.6,0.7,"G"
"115","Jrue Holiday",15.4,1.5,4.2,35.6,1.8,2.5,70.8,3.9,7.3,"G"
"116","Kent Bazemore",11,1.3,3.6,34.6,1.6,2.3,70.8,3.2,2.4,"G"
"117","Andre Iguodala",7.6,0.8,2.3,36.2,0.9,1.3,70.6,4,3.4,"G"
"118","Ish Smith",9.4,0.3,1.3,26.7,0.9,1.3,70.6,2.9,5.2,"G"
"119","Elfrid Payton",12.8,0.5,1.8,27.4,1.8,2.6,69.2,4.7,6.5,"G"
"120","Austin Rivers",12,1.5,4,37.1,1.8,2.6,69.1,2.2,2.8,"G"
"121","Shelvin Mack",7.8,0.7,2.2,30.8,1,1.4,68.8,2.3,2.8,"G"
"122","Dion Waiters",15.8,1.8,4.7,39.5,1.8,2.8,64.6,3.3,4.3,"G"
"123","Tony Allen",9.1,0.2,0.8,27.8,1.1,1.8,61.5,5.5,1.4,"G"
"125","Danilo Gallinari",18.2,2,5.1,38.9,5.5,6.1,90.2,5.2,2.1,"F"
"126","Paul George",23.7,2.6,6.6,39.3,4.5,5,89.8,6.6,3.3,"F"
"129","Kawhi Leonard",25.5,2,5.2,38,6.3,7.2,88,5.8,3.5,"F"
"130","Marreese Speights",8.7,1.3,3.4,37.2,1.5,1.7,87.6,4.5,0.8,"F"
"131","Dirk Nowitzki",14.2,1.5,3.9,37.8,1.8,2.1,87.5,6.5,1.5,"F"
"132","Kevin Durant",25.1,1.9,5,37.5,5.4,6.2,87.5,8.3,4.8,"F"
"133","Marvin Williams",11.2,1.6,4.7,35,1.7,2,87.3,6.6,1.4,"F"
"134","Kevin Love",19,2.4,6.5,37.3,4.3,4.9,87.1,11.1,1.9,"F"
"135","Jon Leuer",10.2,0.7,2.2,29.3,1.3,1.5,86.7,5.4,1.5,"F"
"136","Jimmy Butler",23.9,1.2,3.3,36.7,7.7,8.9,86.5,6.2,5.5,"F"
"137","Jeff Green",9.2,0.8,2.8,27.5,2.1,2.4,86.3,3.1,1.2,"F"
"138","Harrison Barnes",19.2,1,2.8,35.1,3.1,3.6,86.1,5,1.5,"F"
"139","Ryan Anderson",13.6,2.8,7,40.3,1.8,2.1,86,4.6,0.9,"F"
"140","Serge Ibaka",14.8,1.6,4,39.1,1.4,1.6,85.6,6.8,0.9,"F"
"142","Rudy Gay",18.7,1.4,3.8,37.2,3.9,4.6,85.5,6.3,2.8,"F"
"144","Channing Frye",9.1,1.9,4.5,40.9,0.9,1,85.1,3.9,0.6,"F"
"145","Spencer Hawes",6.2,0.5,1.5,30.9,0.8,1,84.6,3.5,1.5,"F"
"146","Doug McDermott",9,1.2,3.2,37,1.1,1.3,84.5,2.7,0.9,"F"
"147","Gordon Hayward",21.9,2,5.1,39.8,5,5.9,84.4,5.4,3.5,"F"
"148","Lance Thomas",6,0.8,1.8,44.7,0.9,1.1,84.3,3.1,0.8,"F"
"149","Tobias Harris",16.1,1.3,3.8,34.7,2.3,2.8,84.1,5.1,1.7,"F"
"150","Markieff Morris",14,0.9,2.6,36.2,2.4,2.8,83.7,6.5,1.7,"F"
"151","Carmelo Anthony",22.4,2,5.7,35.9,4.1,4.9,83.3,5.9,2.9,"F"
"152","Otto Porter Jr.",13.4,1.9,4.3,43.4,1.2,1.5,83.2,6.4,1.5,"F"
"153","Terrence Ross",11,1.8,5,36.3,0.8,1,83.1,2.6,1.1,"F"
"155","Nikola Jokic",16.7,0.6,1.9,32.4,2.6,3.1,82.5,9.8,4.9,"F"
"156","Robert Covington",12.9,2,6.1,33.3,2.1,2.6,82.2,6.5,1.5,"F"
"159","Gorgui Dieng",10,0.2,0.5,37.2,1.7,2,81.4,7.9,1.9,"F"
"160","Chandler Parsons",6.2,0.7,2.7,26.9,1,1.3,81.4,2.5,1.6,"F"
"161","LaMarcus Aldridge",17.3,0.3,0.8,41.1,3.1,3.8,81.2,7.3,1.9,"F"
"162","Jae Crowder",13.9,2.2,5.5,39.8,2.4,3,81.1,5.8,2.2,"F"
"163","Mindaugas Kuzminskas",6.3,0.8,2.5,32.1,0.8,1,80.9,1.9,1,"F"
"164","Solomon Hill",7,1.2,3.4,34.8,1.3,1.6,80.5,3.8,1.8,"F"
"165","JaMychal Green",8.9,0.7,1.9,37.9,1.7,2.2,80.2,7.1,1.1,"F"
"166","Anthony Davis",28,0.5,1.8,29.9,6.9,8.6,80.2,11.8,2.1,"F"
"167","Jarell Martin",3.9,0.2,0.6,36,1,1.2,80,3.9,0.2,"F"
"169","Taurean Prince",5.7,0.6,1.7,32.4,1.3,1.6,78.7,2.7,0.9,"F"
"170","Matt Barnes",7.1,1.2,3.6,33.1,0.9,1.2,78.7,5.2,2.6,"F"
"171","Kristaps Porzingis",18.1,1.7,4.8,35.7,3,3.8,78.6,7.2,1.5,"F"
"172","Marcus Morris Sr.",14,1.5,4.5,33.1,1.8,2.3,78.4,4.6,2,"F"
"173","Dario Saric",12.8,1.3,4.2,31.1,2.1,2.7,78.2,6.3,2.2,"F"
"174","James Ennis III",6.7,0.8,2.1,37.2,1.3,1.7,78.2,4,1,"F"
"175","Kris Humphries",4.6,0.3,1,35.2,1.1,1.5,78,3.7,0.5,"F"
"176","Ersan Ilyasova",13.1,1.7,4.9,35.3,2,2.5,77.8,5.9,1.7,"F"
"177","P.J. Tucker",6.7,0.9,2.4,35.7,0.9,1.1,77.4,5.8,1.2,"F"
"178","Shabazz Muhammad",9.9,0.6,1.9,33.8,1.9,2.4,77.4,2.8,0.4,"F"
"179","Nikola Mirotic",10.6,1.8,5.4,34.2,1.4,1.8,77.3,5.5,1.1,"F"
"180","T.J. Warren",14.4,0.4,1.5,26.5,1.8,2.3,77.3,5.1,1.1,"F"
"181","DeMarcus Cousins",27,1.8,5,36.1,7.2,9.3,77.2,11,4.6,"F"
"183","Paul Millsap",18.1,1.1,3.5,31.1,4.5,5.9,76.8,7.7,3.7,"F"
"185","DeMarre Carroll",8.9,1.5,4.4,34.1,1.2,1.6,76.1,3.8,1,"F"
"186","Andrew Wiggins",23.6,1.3,3.5,35.6,5,6.6,76,4,2.3,"F"
"187","Blake Griffin",21.6,0.6,1.9,33.6,5.2,6.9,76,8.1,4.9,"F"
"188","Dwight Powell",6.7,0.3,1,28.4,1.4,1.8,75.9,4,0.6,"F"
"189","Kelly Oubre Jr.",6.3,0.7,2.4,28.7,0.9,1.3,75.8,3.3,0.6,"F"
"191","Rondae Hollis-Jefferson",8.7,0.2,0.9,22.4,2.4,3.2,75.1,5.8,2,"F"
"193","Juancho Hernangomez",4.9,0.7,1.8,40.7,0.9,1.2,75,3,0.5,"F"
"194","Quincy Acy",5.8,1,2.4,41.1,1.2,1.6,75,3,0.5,"F"
"196","Anthony Tolliver",7.1,1.4,3.5,39.1,0.9,1.3,74.4,3.6,1.2,"F"
"197","Jabari Parker",20.1,1.3,3.5,36.5,3.2,4.3,74.3,6.2,2.8,"F"
"198","Michael Beasley",9.4,0.3,0.8,41.9,1.4,1.9,74.3,3.4,0.9,"F"
"199","Richard Jefferson",5.7,0.8,2.4,33.3,1,1.4,74.1,2.6,1,"F"
"200","Trevor Ariza",11.7,2.4,6.9,34.4,1.2,1.6,73.8,5.7,2.2,"F"
"201","Larry Nance Jr.",7.1,0.2,0.6,27.8,0.9,1.3,73.8,5.9,1.5,"F"
"202","Thabo Sefolosha",7.2,0.7,1.9,34.2,0.9,1.2,73.3,4.4,1.7,"F"
"203","Kelly Olynyk",9,0.9,2.6,35.4,1.2,1.6,73.2,4.8,2,"F"
"204","Zach Randolph",14.1,0.3,1.3,22.3,1.9,2.6,73.1,8.2,1.7,"F"
"205","Luol Deng",7.6,0.9,2.9,30.9,0.8,1.1,73,5.3,1.3,"F"
"206","Wilson Chandler",15.7,1.5,4.6,33.7,2,2.7,72.7,6.5,2,"F"
"207","Julius Randle",13.2,0.2,0.9,27,2.8,3.8,72.3,8.6,3.6,"F"
"208","Anthony Bennett",5,0.6,2.1,27.1,1.1,1.6,72.2,3.4,0.5,"F"
"209","Trey Lyles",6.2,0.9,2.9,31.9,0.8,1.1,72.2,3.3,1,"F"
"211","Aaron Gordon",12.7,1,3.3,28.8,2,2.7,71.9,5.1,1.9,"F"
"213","Draymond Green",10.2,1.1,3.5,30.8,2,2.8,70.9,7.9,7,"F"
"215","James Johnson",12.8,1.1,3.4,34,2,2.8,70.7,4.9,3.6,"F"
"216","Al-Farouq Aminu",8.7,1.1,3.5,33,1.6,2.2,70.6,7.4,1.6,"F"
"218","Richaun Holmes",9.8,0.5,1.4,35.1,1.3,1.8,69.9,5.5,1,"F"
"219","Jaylen Brown",6.6,0.6,1.7,34.3,1.1,1.6,68.5,2.8,0.8,"F"
"220","Luc Mbah a Moute",6.1,0.5,1.4,39.1,0.7,1.1,67.8,2.1,0.5,"F"
"221","Luis Scola",5.1,0.5,1.4,34,0.7,1,67.6,3.9,1,"F"
"222","LeBron James",26.4,1.7,4.6,36.3,4.8,7.2,67.4,8.6,8.7,"F"
"223","Trevor Booker",10,0.4,1.1,32.1,1,1.5,67.3,8,1.9,"F"
"224","Amir Johnson",6.5,0.3,0.8,40.9,0.8,1.3,67,4.6,1.8,"F"
"225","Jared Dudley",6.8,1.2,3.2,37.9,0.7,1,66.2,3.5,1.9,"F"
"226","Troy Williams",6.2,0.6,2.1,29,0.7,1.1,65.6,2.3,0.8,"F"
"227","Derrick Williams",6.1,0.6,1.9,30.9,1.2,1.8,65.2,2.6,0.6,"F"
"228","Joffrey Lauvergne",5.4,0.5,1.4,33.7,0.7,1,63,3.6,1,"F"
"229","Marquese Chriss",9.2,0.9,2.7,32.1,1.4,2.2,62.4,4.2,0.7,"F"
"230","Brandon Ingram",9.4,0.7,2.4,29.4,1.7,2.7,62.1,4,2.1,"F"
"231","Maurice Harkless",10,0.9,2.5,35.1,1,1.6,62.1,4.4,1.1,"F"
"233","Jerami Grant",5.5,0.5,1.5,37.1,1.1,1.8,61.2,2.6,0.6,"F"
"234","Terrence Jones",10.8,0.4,1.4,25.3,1.9,3.1,60.6,5.7,1.1,"F"
"235","Thaddeus Young",11,0.6,1.6,38.1,0.6,1.2,52.3,6.1,1.6,"F"
"236","Donatas Motiejunas",4.4,0.3,1.4,23.4,0.7,1.4,51,3,0.9,"F"
"237","Andre Roberson",6.6,0.6,2.3,24.5,0.6,1.4,42.3,5.1,1,"F"
"240","Marc Gasol",19.5,1.4,3.6,38.8,3.8,4.5,83.7,6.3,4.6,"C"
"241","Karl-Anthony Towns",25.1,1.2,3.4,36.7,4.3,5.2,83.2,12.3,2.7,"C"
"244","Brook Lopez",20.5,1.8,5.2,34.6,3.9,4.9,81,5.4,2.3,"C"
"245","Myles Turner",14.5,0.5,1.4,34.8,3,3.7,80.9,7.3,1.3,"C"
"247","Al Horford",14,1.3,3.6,35.5,1.6,2,80,6.8,5,"C"
"248","Enes Kanter",14.3,0.1,0.5,13.2,3.1,4,78.6,6.7,0.9,"C"
"249","Joel Embiid",20.2,1.2,3.2,36.7,6.2,7.9,78.3,7.8,2.1,"C"
"252","Frank Kaminsky",11.7,1.5,4.7,32.8,1.6,2.1,75.6,4.5,2.2,"C"
"254","Pau Gasol",12.4,0.9,1.6,53.8,2,2.9,70.7,7.8,2.3,"C"
"255","Nikola Vucevic",14.6,0.3,1,30.7,1.4,2.1,66.9,10.4,2.8,"C"
"143","Stephen Curry",26.4,4.2,9.8,42.3,5.5,5.9,92.1,5.1,6.1,"G"
"232","Courtney Lee",12,1.5,3.7,40.6,1.5,1.6,91.9,2.9,2.4,"G"
"310","Chris Paul",18.6,2.5,6.5,38,3.5,3.8,91.9,5.4,7.9,"G"
"410","Damian Lillard",26.9,3.1,8.6,36.1,6.8,7.4,91.6,4.5,6.6,"G"
"510","Marco Belinelli",12.1,1.9,4.9,37.7,1.9,2,90.8,1.9,1.9,"G"
"610","Jamal Murray",16.7,2,5.4,37.8,2.8,3.1,90.5,3.7,3.4,"G"
"710","JJ Redick",17.1,2.8,6.6,42,2.8,3.1,90.4,2.5,3,"G"
"810","Jamal Crawford",10.3,1.3,3.9,33.1,1.3,1.4,90.3,1.2,2.3,"G"
"910","Isaiah Canaan",8.6,1.1,3.3,33.3,2.3,2.6,90.2,2.3,3.8,"G"
"1010","Isaiah Thomas",15.2,1.7,5.9,29.3,3.7,4.1,89.3,2.1,4.8,"G"
"1110","Patty Mills",10,1.9,5,37.2,1.3,1.4,89,1.9,2.8,"G"
"1210","Kyle Korver",9.2,2.2,5.2,43.6,0.9,1,88.9,2.3,1.2,"G"
"1310","Kyrie Irving",24.4,2.8,6.8,40.8,3.9,4.4,88.9,3.8,5.1,"G"
"1410","Sean Kilpatrick",6.3,0.9,2.8,31.9,1.2,1.4,88.9,1.7,0.9,"G"
"154","Malcolm Brogdon",13,1.3,3.4,38.5,1.6,1.8,88.2,3.3,3.2,"G"
"1610","Darren Collison",12.4,1.4,3,46.8,1.8,2.1,88.2,2.6,5.3,"G"
"1710","Lou Williams",22.6,2.4,6.6,35.9,5.5,6.2,88,2.5,5.3,"G"
